sample_id,sample_type,profile,halo_risk,ringing_risk,face_or_person_detected,highlight_neutrality,highlight_fallback_active,round2_3_final_source,final_selection_reason,phase6_smooth_region_fallback,phase6_candidate_quality_drop,round2_2_size_ratio,round2_3_size_ratio,candidate_to_final_mean_delta_e,candidate_to_final_p95_delta_e,candidate_to_final_saturation_delta,final_edge_delta_proxy,final_texture_delta_proxy,visual_status_round2_3,risk_status_round2_3,minor_positive_retained,evidence_complete,needs_human_review,original_path,frozen_path,round2_2_candidate_path,round2_3_final_path,full_compare_path,same_scale_compare_path,crop_100_path,crop_200_path,metrics_json_path
wechat_longscreenshot_2026-06-12_111900_080,文字密集长截图,text_dense_shrink,False,False,False,0.118,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.089038,1.089038,0.0,0.0,0.0,0.039335,0.064037,NEEDS_HUMAN_REVIEW,REVIEW,NO,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\wechat_longscreenshot_2026-06-12_111900_080.json
green_c_product_kv,产品KV,product_kv_safe,False,False,False,0.072,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.037101,1.037101,0.0,0.0,0.0,0.062626,0.082911,MINOR_POSITIVE,REVIEW,YES,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\green_c_product_kv.json
purple_beauty_product_kv,产品KV,product_kv_safe,False,False,False,0.064,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.045954,1.045954,0.0,0.0,0.0,0.057692,0.079286,MINOR_POSITIVE,REVIEW,YES,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\purple_beauty_product_kv.json
dji_horizontal_infographic,文字信息图,infographic_safe,False,False,False,0.101,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.091383,1.091383,0.0,0.0,0.0,0.16613,0.112358,MINOR_POSITIVE,REVIEW,YES,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\dji_horizontal_infographic.json
liu_qiangdong_commercial_portrait,商业人物海报,portrait_nonface,False,False,True,0.083,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.107944,1.107944,0.0,0.0,0.0,0.486637,0.178828,MINOR_POSITIVE,REVIEW,YES,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\liu_qiangdong_commercial_portrait.json
wei_zhongxian_character_card,角色信息卡,character_card_nontext,False,False,True,0.076,NO,round2_2_candidate,Round 2.3 highlight fallback not triggered; keep Round 2.2 candidate as final.,NO,,1.097847,1.097847,0.0,0.0,0.0,0.275938,0.140537,MINOR_POSITIVE,REVIEW,YES,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\wei_zhongxian_character_card.json
andy_lau_commercial_portrait,商业人物海报,portrait_nonface,True,True,True,0.032,YES,main_output_proxy_frozen,针对商业大片高光碎屑执行平滑因子二次兜底，防边缘发灰。,YES,-0.15,1.091374,1.0,0.452098,1.732051,-0.000595,0.0,0.0,SAFETY_FALLBACK,REVIEW,NO,PASS,YES,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\01_original\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\02_frozen\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\03_round2_2_candidate\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\04_round2_3_final\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\05_full_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\06_same_scale_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\07_crops_100pct\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\08_crops_200pct_preview\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_3_highlight_fallback\09_metrics\andy_lau_commercial_portrait.json
