sample_id,sample_type,profile,target,round2_2_strength,original_path,frozen_path,round2_1_candidate_path,round2_2_candidate_path,full_compare_path,same_scale_compare_path,crop_100_path,crop_200_path,metrics_json_path,round2_1_edge_delta_proxy,round2_1_texture_delta_proxy,round2_1_size_ratio,edge_delta_proxy,texture_delta_proxy,p95_delta_e,saturation_delta,mean_delta_e,size_ratio,size_delta_vs_round2_1_bytes,evidence_complete,metric_judgement,visual_prejudgement,risk_status,size_benefit_ratio_judgement,gate_to_19,round2_2_fix_result
wechat_longscreenshot_2026-06-12_111900_080,文字密集长截图,text_dense_shrink,压低体积增长，保留极轻微文字边缘稳定，保护白底和浅灰底,0.022,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\wechat_longscreenshot_2026-06-12_111900_080.json,0.053305,0.079538,1.15443,0.039335,0.064037,0.0,5.5e-05,0.066302,1.089038,-50544,PASS,WEAK_POSITIVE,NEEDS_HUMAN_REVIEW,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,SIZE_RATIO_FIXED_NEEDS_VISUAL_CHECK
green_c_product_kv,产品KV,product_kv_safe,保留瓶身透明材质和产品轮廓轻微收益，锁定Logo、包装文字、白面和高光,0.066,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\green_c_product_kv.json,0.07301,0.110356,1.103135,0.062626,0.082911,1.0,8.5e-05,0.109295,1.037101,-97046,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,MINOR_POSITIVE_DIRECTION_PRESERVED_NEEDS_VISUAL_CHECK
purple_beauty_product_kv,产品KV,product_kv_safe,保留产品边缘和银色材质轻微收益，锁定品牌紫、银色高光和背景渐变,0.063,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\purple_beauty_product_kv.json,0.079057,0.126431,1.10129,0.057692,0.079286,1.0,0.000117,0.122329,1.045954,-95258,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,MINOR_POSITIVE_DIRECTION_PRESERVED_NEEDS_VISUAL_CHECK
dji_horizontal_infographic,文字信息图,infographic_safe,保留大结构、图标和线条轻微收益，保护小字、浅底和细线,0.071,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\dji_horizontal_infographic.json,0.29353,0.188768,1.097542,0.16613,0.112358,1.732051,0.000263,0.391857,1.091383,-13545,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,MINOR_POSITIVE_DIRECTION_PRESERVED_NEEDS_VISUAL_CHECK
liu_qiangdong_commercial_portrait,商业人物海报,portrait_nonface,扩大脸部和肤色保护，只允许服装、背景城市和非脸部结构轻微处理,0.066,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\liu_qiangdong_commercial_portrait.json,0.538488,0.2106,1.137202,0.486637,0.178828,1.732051,0.000964,0.660328,1.107944,-108030,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,NONFACE_TARGETING_TIGHTENED_NEEDS_VISUAL_CHECK
wei_zhongxian_character_card,角色信息卡,character_card_nontext,加强红色标签、小字、边框和暗部保护，只保留毛发服饰低强度收益,0.06,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\wei_zhongxian_character_card.json,0.466152,0.253883,1.122815,0.275938,0.140537,1.732051,0.001065,0.553061,1.097847,-86119,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,NONFACE_TARGETING_TIGHTENED_NEEDS_VISUAL_CHECK
andy_lau_commercial_portrait,商业人物海报,portrait_nonface,保留碎片、服装和金属/背景结构轻微收益，保护脸、手、肤色和高光,0.062,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\01_original\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\02_frozen\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\03_round2_1_candidate\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\04_round2_2_candidate\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\05_full_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\06_same_scale_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\07_crops_100pct\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\08_crops_200pct_preview\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_2_targeted\09_metrics\andy_lau_commercial_portrait.json,0.357583,0.21752,1.116537,0.276724,0.149418,1.732051,0.000595,0.452098,1.091374,-62396,PASS,PASS,MINOR_POSITIVE,REVIEW,ACCEPTABLE,WAIT_FOR_HUMAN_REVIEW,MINOR_POSITIVE_DIRECTION_PRESERVED_NEEDS_VISUAL_CHECK
