sample_id,sample_type,original_path,frozen_path,round2_candidate_path,round2_1_candidate_path,full_compare_path,same_scale_compare_path,crop_100_path,crop_200_path,metrics_json_path,edge_delta_proxy,texture_delta_proxy,p95_delta_e,saturation_delta,size_ratio,evidence_complete,metric_judgement,visual_review_required,risk_status,gate_to_19,notes
wechat_longscreenshot_2026-06-12_111900_080,文字/信息图,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\wechat_longscreenshot_2026-06-12_111900_080.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\wechat_longscreenshot_2026-06-12_111900_080,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\wechat_longscreenshot_2026-06-12_111900_080.json,0.053305,0.079538,1.0,4.4e-05,1.15443,PASS,PASS,YES,REJECT,NO,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
green_c_product_kv,产品/商业KV,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\green_c_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\green_c_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\green_c_product_kv.json,0.07301,0.110356,1.0,5.2e-05,1.103135,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
purple_beauty_product_kv,产品/商业KV,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\purple_beauty_product_kv.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\purple_beauty_product_kv,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\purple_beauty_product_kv.json,0.079057,0.126431,1.414214,9.2e-05,1.10129,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
dji_horizontal_infographic,文字/信息图,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\dji_horizontal_infographic.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\dji_horizontal_infographic,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\dji_horizontal_infographic.json,0.29353,0.188768,1.732051,0.000309,1.097542,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
liu_qiangdong_commercial_portrait,人物/角色海报,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\liu_qiangdong_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\liu_qiangdong_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\liu_qiangdong_commercial_portrait.json,0.538488,0.2106,2.236068,0.000934,1.137202,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
wei_zhongxian_character_card,人物/角色海报,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\wei_zhongxian_character_card.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\wei_zhongxian_character_card,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\wei_zhongxian_character_card.json,0.466152,0.253883,2.236068,0.001071,1.122815,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
andy_lau_commercial_portrait,人物/角色海报,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\01_original\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\02_frozen\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\03_round2_candidate\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\04_round2_1_candidate\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\05_full_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\06_same_scale_compare\andy_lau_commercial_portrait.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\07_crops_100pct\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\08_crops_200pct_preview\andy_lau_commercial_portrait,D:\Codex\04_Visual-Master-Pro\tests\results\v046_quality_lift_round2_1_targeted\09_metrics\andy_lau_commercial_portrait.json,0.357583,0.21752,2.236068,0.000621,1.116537,PASS,PASS,YES,REVIEW,WAIT_FOR_HUMAN_REVIEW,Round 2.1 为离线安全局部中频微调；需要人工查看裁切确认真实肉眼收益和风险。
